所有资源均来自网络,#genre#
请勿商用《BAD》,http://vdown.kuwo.cn:80/resource/t4/66/78/HdGvGZQqGw4.mp4

专享源,#genre#
1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy
女神金,http://zzy789.xyz/douyu1.php?id=747764
华语影视,http://zzy789.xyz/douyu1.php?id=3928
冰冰影厅,http://zzy789.xyz/douyu1.php?id=74374
邵氏影院,https://live.ottiptv.cc/douyu/4246519
橙记港剧,http://zzy789.xyz/douyu1.php?id=4549169
热门港剧,http://zzy789.xyz/douyu1.php?id=5522351
华语房,http://zzy789.xyz/douyu1.php?id=85894
星爷房,http://zzy789.xyz/douyu1.php?id=122402
欧美房,http://zzy789.xyz/douyu1.php?id=20415
特辑影院,http://zzy789.xyz/douyu1.php?id=3637778
粤语综艺,http://zzy789.xyz/douyu1.php?id=7919720
华语经典,http://zzy789.xyz/douyu1.php?id=434971
贝爷MAX厅,http://zzy789.xyz/douyu1.php?id=4332
XXXX影院,http://zzy789.xyz/douyu1.php?id=508118
特辑电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=3637778
粤语电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=1226741
华语影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=3928
神乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=85894
冰冰影厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=74374
刀刀影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=747764
贝爷贰厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=4332
橙记港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=4549169
蚂蚱影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6079455
怡宝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=434971
贝贝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=431460
可乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=20415
热门港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=5522351
欢乐综艺,http://huanqiuzhibo.cn/manifest/douyu.php?id=131977
万合出品,http://huanqiuzhibo.cn/manifest/douyu.php?id=9220456

解说频道,#genre#
解说科幻梦工场,http://live.nctv.top/huya.php?id=15152155
解说阿斗说电影,http://live.nctv.top/huya.php?id=13303478
童乐说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9660704
喵妹说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9312432
鹏友说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9445244
逗米说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/421222
神羊说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9443552
小马哥说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9396672
刘哔电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/2632223
九叔说电影V,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9348282
松轩说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/1524969
小浅说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/9665834
驴哥说电影,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/5376478

DY轮播,#genre#
火影忍者,https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8
天堂电影,http://fy27.zbds.top:55655/douyu/9573592
维立方电影,http://fy27.zbds.top:55655/douyu/8706393
斗鱼搞笑HD1,http://zzy789.xyz/douyu1.php?id=9220456
文西与阿漆,http://zzy789.xyz/douyu1.php?id=8737695
文西与阿漆,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/8737695
斗鱼音乐MV频道,http://zzy789.xyz/douyu1.php?id=3870925
斗鱼电影3,http://zzy789.xyz/douyu1.php?id=431460
喜剧电影笑不停,http://zzy789.xyz/douyu1.php?id=10298856
PDD影院,http://zzy789.xyz/douyu1.php?id=1274132
智仗心,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/5635000
懒猫是只喵,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/260322
白了个痴,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/319576
聚聚聚一个月,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/4105989
单纯的顺才少爷,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/10084875
牛奶味的梦猪猪,http://iptv.666230.xyz/公众号睡眼迷离的猫/lunbo.php?id=douyu/5261342
